symbol,date,price
azul,Jan 2000,39.81
azul,Feb 2000,36.35
azul,Mar 2000,43.22
azul,Apr 2000,28.37
azul,May 2000,25.45
azul,Jun 2000,32.54
azul,Jul 2000,28.4
azul,Aug 2000,28.4
azul,Sep 2000,24.53
azul,Oct 2000,28.02
azul,Nov 2000,23.34
azul,Dec 2000,17.65
azul,Jan 2001,24.84
azul,Feb 2001,24
azul,Mar 2001,22.25
azul,Apr 2001,27.56
azul,May 2001,28.14
azul,Jun 2001,29.7
azul,Jul 2001,26.93
azul,Aug 2001,23.21
azul,Sep 2001,20.82
azul,Oct 2001,23.65
azul,Nov 2001,26.12
azul,Dec 2001,26.95
azul,Jan 2002,25.92
azul,Feb 2002,23.73
azul,Mar 2002,24.53
azul,Apr 2002,21.26
azul,May 2002,20.71
azul,Jun 2002,22.25
azul,Jul 2002,19.52
azul,Aug 2002,19.97
azul,Sep 2002,17.79
azul,Oct 2002,21.75
azul,Nov 2002,23.46
azul,Dec 2002,21.03
azul,Jan 2003,19.31
azul,Feb 2003,19.34
azul,Mar 2003,19.76
azul,Apr 2003,20.87
azul,May 2003,20.09
azul,Jun 2003,20.93
azul,Jul 2003,21.56
azul,Aug 2003,21.65
azul,Sep 2003,22.69
azul,Oct 2003,21.45
azul,Nov 2003,21.1
azul,Dec 2003,22.46
azul,Jan 2004,22.69
azul,Feb 2004,21.77
azul,Mar 2004,20.46
azul,Apr 2004,21.45
azul,May 2004,21.53
azul,Jun 2004,23.44
azul,Jul 2004,23.38
azul,Aug 2004,22.47
azul,Sep 2004,22.76
azul,Oct 2004,23.02
azul,Nov 2004,24.6
azul,Dec 2004,24.52
azul,Jan 2005,24.11
azul,Feb 2005,23.15
azul,Mar 2005,22.24
azul,Apr 2005,23.28
azul,May 2005,23.82
azul,Jun 2005,22.93
azul,Jul 2005,23.64
azul,Aug 2005,25.35
azul,Sep 2005,23.83
azul,Oct 2005,23.8
azul,Nov 2005,25.71
azul,Dec 2005,24.29
azul,Jan 2006,26.14
azul,Feb 2006,25.04
azul,Mar 2006,25.36
azul,Apr 2006,22.5
azul,May 2006,21.19
azul,Jun 2006,21.8
azul,Jul 2006,22.51
azul,Aug 2006,24.13
azul,Sep 2006,25.68
azul,Oct 2006,26.96
azul,Nov 2006,27.66
azul,Dec 2006,28.13
azul,Jan 2007,29.07
azul,Feb 2007,26.63
azul,Mar 2007,26.35
azul,Apr 2007,28.3
azul,May 2007,29.11
azul,Jun 2007,27.95
azul,Jul 2007,27.5
azul,Aug 2007,27.34
azul,Sep 2007,28.04
azul,Oct 2007,35.03
azul,Nov 2007,32.09
azul,Dec 2007,34
azul,Jan 2008,31.13
azul,Feb 2008,26.07
azul,Mar 2008,27.21
azul,Apr 2008,27.34
azul,May 2008,27.25
azul,Jun 2008,26.47
azul,Jul 2008,24.75
azul,Aug 2008,26.36
azul,Sep 2008,25.78
azul,Oct 2008,21.57
azul,Nov 2008,19.66
azul,Dec 2008,18.91
azul,Jan 2009,16.63
azul,Feb 2009,15.81
azul,Mar 2009,17.99
azul,Apr 2009,19.84
azul,May 2009,20.59
azul,Jun 2009,23.42
azul,Jul 2009,23.18
azul,Aug 2009,24.43
azul,Sep 2009,25.49
azul,Oct 2009,27.48
azul,Nov 2009,29.27
azul,Dec 2009,30.34
azul,Jan 2010,28.05
azul,Feb 2010,28.67
azul,Mar 2010,28.8
naranja,Jan 2000,64.56
naranja,Feb 2000,68.87
naranja,Mar 2000,67
naranja,Apr 2000,55.19
naranja,May 2000,48.31
naranja,Jun 2000,36.31
naranja,Jul 2000,30.12
naranja,Aug 2000,41.5
naranja,Sep 2000,38.44
naranja,Oct 2000,36.62
naranja,Nov 2000,24.69
naranja,Dec 2000,15.56
naranja,Jan 2001,17.31
naranja,Feb 2001,10.19
naranja,Mar 2001,10.23
naranja,Apr 2001,15.78
naranja,May 2001,16.69
naranja,Jun 2001,14.15
naranja,Jul 2001,12.49
naranja,Aug 2001,8.94
naranja,Sep 2001,5.97
naranja,Oct 2001,6.98
naranja,Nov 2001,11.32
naranja,Dec 2001,10.82
naranja,Jan 2002,14.19
naranja,Feb 2002,14.1
naranja,Mar 2002,14.3
naranja,Apr 2002,16.69
naranja,May 2002,18.23
naranja,Jun 2002,16.25
naranja,Jul 2002,14.45
naranja,Aug 2002,14.94
naranja,Sep 2002,15.93
naranja,Oct 2002,19.36
naranja,Nov 2002,23.35
naranja,Dec 2002,18.89
naranja,Jan 2003,21.85
naranja,Feb 2003,22.01
naranja,Mar 2003,26.03
naranja,Apr 2003,28.69
naranja,May 2003,35.89
naranja,Jun 2003,36.32
naranja,Jul 2003,41.64
naranja,Aug 2003,46.32
naranja,Sep 2003,48.43
naranja,Oct 2003,54.43
naranja,Nov 2003,53.97
naranja,Dec 2003,52.62
naranja,Jan 2004,50.4
naranja,Feb 2004,43.01
naranja,Mar 2004,43.28
naranja,Apr 2004,43.6
naranja,May 2004,48.5
naranja,Jun 2004,54.4
naranja,Jul 2004,38.92
naranja,Aug 2004,38.14
naranja,Sep 2004,40.86
naranja,Oct 2004,34.13
naranja,Nov 2004,39.68
naranja,Dec 2004,44.29
naranja,Jan 2005,43.22
naranja,Feb 2005,35.18
naranja,Mar 2005,34.27
naranja,Apr 2005,32.36
naranja,May 2005,35.51
naranja,Jun 2005,33.09
naranja,Jul 2005,45.15
naranja,Aug 2005,42.7
naranja,Sep 2005,45.3
naranja,Oct 2005,39.86
naranja,Nov 2005,48.46
naranja,Dec 2005,47.15
naranja,Jan 2006,44.82
naranja,Feb 2006,37.44
naranja,Mar 2006,36.53
naranja,Apr 2006,35.21
naranja,May 2006,34.61
naranja,Jun 2006,38.68
naranja,Jul 2006,26.89
naranja,Aug 2006,30.83
naranja,Sep 2006,32.12
naranja,Oct 2006,38.09
naranja,Nov 2006,40.34
naranja,Dec 2006,39.46
naranja,Jan 2007,37.67
naranja,Feb 2007,39.14
naranja,Mar 2007,39.79
naranja,Apr 2007,61.33
naranja,May 2007,69.14
naranja,Jun 2007,68.41
naranja,Jul 2007,78.54
naranja,Aug 2007,79.91
naranja,Sep 2007,93.15
naranja,Oct 2007,89.15
naranja,Nov 2007,90.56
naranja,Dec 2007,92.64
naranja,Jan 2008,77.7
naranja,Feb 2008,64.47
naranja,Mar 2008,71.3
naranja,Apr 2008,78.63
naranja,May 2008,81.62
naranja,Jun 2008,73.33
naranja,Jul 2008,76.34
naranja,Aug 2008,80.81
naranja,Sep 2008,72.76
naranja,Oct 2008,57.24
